Discord,Game,Role
Dawdle#8177,Detective Game,Programmer
Qwerty8080#4099,Detective Game,Programmer
Mix Masta Trev Dawg#4724,Detective Game,Programmer
Jo-ann#3309,Detective Game,UI/UX
Sarkazam#7269,Detective Game,Writer
cheese#5290,Detective Game,Writer
RaimiParker#8850,Detective Game,Writer
Journee#8651,Detective Game,Artist
runzackrun#3671,Detective Game,Producer
ECHO.exe#4269,Journey to Shangri-La,Programmer
dzok#4976,Astral Onslaught!,Programmer
Veleran#1812,Astral Onslaught!,Programmer
King Claw #1819,Astral Onslaught!,Gameplay Designer
MirrorCube#8040,Astral Onslaught!,Artist
Sihobaek#8243,Astral Onslaught!,Artist
britphan#3219,Astral Onslaught!,Artist
katsudoen#0656,Astral Onslaught!,Artist
!rmfandyplayz#9644,Epic Gacha Waifu Wars XIII Requiem Remasterd HD,Programmer
Bayki#3379,Epic Gacha Waifu Wars XIII Requiem Remasterd HD,Artist
rent#1220,Epic Gacha Waifu Wars XIII Requiem Remasterd HD,Artist
Bryan Castaneda#8790,Errand-Girl Laine,Programmer
Knightly#1142,Errand-Girl Laine,Artist
katsudoen#0656,Errand-Girl Laine,Artist
gnnewman#3270,An Aarmory of Anteater,Programmer
michael_labarbera#7512,An Aarmory of Anteater,Programmer
Pineapple Guava#9400,An Aarmory of Anteater,Programmer
TyroneXVII#8784,Notebook Heroes,Programmer
ScarletFangs#4355,Notebook Heroes,Programmer
Oukooo#4427,Notebook Heroes,Programmer
JuYoon#7893,Notebook Heroes,Artist
nunez2000#4034,Notebook Heroes,UI/UX
Bronpro#1365,Notebook Heroes,UI/UX
Megapig9001#4565,Notebook Heroes,Writer
MegAlex#8697,Notebook Heroes,Gameplay Designer
ChrisTapi#9908,Notebook Heroes,Audio Designer
Natura⍼#6135,Zot Racer,Programmer
ColeYoung#3999,Zot Racer,Programmer
nedlemethm#3740,Zot Racer,Gameplay Designer
MingChing#1605,Zot Racer,Gameplay Designer
Jo-ann#3309,Zot Racer,UI/UX
Ender#2182,Zot Racer,Producer
NonsensicalSentence#2494,"Tea, Time, and Testimony",Programmer
marbleous#7581,"Tea, Time, and Testimony",Programmer
xSprinklePuffx#4424,"Tea, Time, and Testimony",Writer
The_Lemon_27#5217,"Tea, Time, and Testimony",Writer
mikewazowskis_kitten#9309,"Tea, Time, and Testimony",Artist
katsudoen#0656,"Tea, Time, and Testimony",Artist
Artoramen#9148,"Tea, Time, and Testimony",Producer
HSenpai#6531,RPGacha,Artist
hungbui12502#3924,Keeper of Time: Age of Fire,Artist
nedlemethm#3740,Keeper of Time: Age of Fire,Gameplay Designer
PineappleGuava#9400,Spellbook,Programmer
Poorgrammer#9833,Spellbook,Programmer
Eeks#1801,Spellbook,Artist
code e#8915,Spellbook,Artist
Katen#7639,Spellbook,Gameplay Designer
DNA#4615,Spellbook,Producer
MingChing#1605,Spellbook,Writer
TheChilledLemon#3503,The Last Crucible,Programmer
Poorgrammer#9833,The Last Crucible,Programmer
big jungus#5381,The Last Crucible,Gameplay Designer
Coffee#6802,The Last Crucible,Gameplay Designer
UziReigns#1050,The Last Crucible,Gameplay Designer
Ziln00bas#2882,The Last Crucible,Audio Designer
xSprinklePuffx#4424,The Last Crucible,Audio Designer
Reallife101#7674,The Last Crucible,Audio Designer
The_Lemon_27#5217,The Last Crucible,Writer
Sihobaek#8243,Order Up!,Artist
katsudoen#0656,Order Up!,Artist
Pepto Bismol#4989,Order Up!,Programmer
pichelle#9548,Order Up!,UI/UX
